"filename", "language", "JSON", "C++", "JavaScript", "Markdown", "JavaScript JSX", "CMake", "XML", "PostCSS", "HTML", "Dotenv", "MS SQL", "Properties", "YAML", "Dart", "Swift", "comment", "blank", "total"
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-livreur\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 8
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-livreur\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 1, 7
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-livreur\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-livreur\backend-livreur\.env", "Dotenv", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 6, 5, 23
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-livreur\backend-livreur\package-lock.json", "JSON", 1870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1871
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-livreur\backend-livreur\package.json", "JSON", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-livreur\backend-livreur\src\config\db.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-livreur\backend-livreur\src\controllers\authController.js", "JavaScript", 0, 0, 443, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 70, 523
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-livreur\backend-livreur\src\middlewares\authMiddleware.js", "JavaScript", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 49
"c:\Users\MEITANG Junior\GLOTELHO\glotelho-tracking\glotelho-livreur\backend-livreur\src\middlewares\upload.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
